utc,product_name,store_section,category,subcategory,labels,nutriscore,nova_group,allergens,diet_tags,image_url,price,x,y
39400013686,Blackeye Peas,Canned Food,Canned Foods,Canned Plant Based Foods,,b,3.0,,"en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/940/001/3686/front_en.3.400.jpg,1.79,7,25
39400016014,Onion baked beans,Canned Food,Canned Foods,Canned Plant Based Foods,Verified,a,4.0,en:mustard,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/6014/front_en.8.400.jpg,1.79,7,25
39400016069,Original Baked Beans,Canned Food,Canned Foods,Canned Plant Based Foods,,c,4.0,,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/6069/front_en.12.400.jpg,1.79,7,25
39400016113,Original Baked Beans,Canned Food,Canned Foods,Canned Plant Based Foods,"Low or no fat,Low fat,No gluten",c,4.0,,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/6113/front_en.37.400.jpg,1.79,7,25
39400016120,"Baked Beans, Original",Canned Food,Canned Foods,Canned Plant Based Foods,No gluten,c,4.0,en:mustard,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/6120/front_en.20.400.jpg,1.79,7,25
39400016144,Baked Beans,Canned Food,Canned Foods,Canned Plant Based Foods,,c,4.0,en:mustard,"en:palm-oil-free,en:non-vegan,en:non-vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/6144/front_en.8.400.jpg,1.79,7,25
39400016359,Vegetarian Baked Beans,Canned Food,Canned Foods,Canned Plant Based Foods,"Low or no fat,No gluten,Vegetarian,Source of fibre,Contains GMOs,No fat",c,4.0,en:mustard,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/6359/front_en.25.400.jpg,1.79,7,25
39400016816,"Chili Beans In Chili Sauce, Hot",Dips,Dips,Hot Sauces,,a,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/940/001/6816/front_en.6.400.jpg,3.99,10,13
39400016922,"Chili Beans, Mild Chili Sauce",Canned Food,Canned Foods,Canned Plant Based Foods,,a,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/940/001/6922/front_en.7.400.jpg,1.79,7,25
39400017004,Chick Peas Garbanzo Beans,Canned Food,Canned Foods,Canned Plant Based Foods,,unknown,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/940/001/7004/front_en.26.400.jpg,1.79,7,25
39400017349,Kidney Beans,Canned Food,Canned Foods,Canned Plant Based Foods,,a,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/940/001/7349/front_en.23.400.jpg,1.79,7,25
39400017745,Navy Beans,Canned Food,Canned Foods,Canned Plant Based Foods,,a,4.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/7745/front_en.9.400.jpg,1.79,7,25
39400018100,Pinto Beans,Canned Food,Canned Foods,Canned Plant Based Foods,,b,3.0,,"en:palm-oil-free,en:vegan,en:vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/8100/front_en.23.400.jpg,1.79,7,25
39400018841,Seasoned Black Beans,Canned Food,Canned Foods,Canned Plant Based Foods,"No gluten,Kosher,No GMOs,Non GMO project,Orthodox Union Kosher",unknown,4.0,,"en:palm-oil-free,en:maybe-vegan,en:maybe-vegetarian",https://images.openfoodfacts.org/images/products/003/940/001/8841/front_en.41.400.jpg,1.79,7,25
39400019107,Grillin' Beans Bourbon & Brown Sugar,Canned Food,Canned Foods,Canned Plant Based Foods,No gluten,a,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/940/001/9107/front_en.17.400.jpg,1.79,7,25
39400019169,Grillin' Beans Steakhouse Recipe,Canned Food,Canned Foods,Canned Plant Based Foods,No gluten,b,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/940/001/9169/front_en.20.400.jpg,1.79,7,25
39400019770,Brown Sugar Hickory Baked Beans,Canned Food,Canned Foods,Canned Plant Based Foods,,unknown,4.0,,"en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",https://images.openfoodfacts.org/images/products/003/940/001/9770/front_en.27.400.jpg,1.79,7,25
