utc,product_name,department,price,quantity,ingredients,allergens,categories,labels,nutriscore,nova_group,diet_tags
078742354781,Hazelnut Cappuccino Mix,Beverages,4.78,9,,,"Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Coffees, Capsules, Coffee capsules",,b,,
022000017871,Wrigleys spearmint chewing gum sugar free stick rp,Candy,2.98,8,"Sorbitol, gum base, glycerol, natural and artificial flavors, less than 2% of: hydrogenated starch hydrolysate, aspartame, mannitol, acesulfame k, soy lecithin, bht (to maintain freshness), colors (turmeric, blue 1 lake).",,"Snacks, Snacks sucrés, Confiseries, Chewing-gum, Chewing-gum sans sucres",,not-applicable,4,"['en:palm-oil-free', 'en:vegan-status-unknown', 'en:vegetarian-status-unknown']"
078742372433,Strawberry Flavored Sparkling Water Beverage,Beverages,0.7,8,"Carbonated water, citric acid, potassium citrate, natural flavor, aspartame, potassium benzoate (preservative), acesulfame potassium.",,"Beverages, Waters",,c,4,"['en:palm-oil-free', 'en:maybe-vegan', 'en:maybe-vegetarian']"
078742075068,Pepper Jack Monterey Jack Cheese with Jalapeño Peppers,Dairy & Eggs,2,7,"Pasteurized milk, jalapeno peppers, cheese culture, salt, enzymes.",,"Dairies, Fermented foods, Fermented milk products, Cheeses",,d,3,"['en:palm-oil-free', 'en:non-vegan', 'en:maybe-vegetarian']"
046100001103,Havarti Sliced Havarti Cheese,Dairy & Eggs,3.38,6,"Pasteurized milk, cheese culture, salt, enzymes.",,"Dairies, Fermented foods, Fermented milk products, Cheeses, Cow cheeses, Danish cheeses, Havarti",,d,3,"['en:palm-oil-free', 'en:non-vegan', 'en:maybe-vegetarian']"
078742295732,Watermelon Limeade,Beverages,1.94,9,,,,"Kosher, Orthodox Union Kosher, en:no-sugar",unknown,,
082592660640,Mighty Mango Machine,Beverages,7.88,8,"mango puree, apple juice, orange juice, banana puree†, lemon juice, natural flavors, beta carotene (vitamin a),",,"Plant-based foods and beverages,Beverages,Plant-based beverages","Vegetarian, No gluten, No GMOs, Vegan, Non GMO project, en:no-preservatives",d,4,"['en:palm-oil-free', 'en:vegan', 'en:vegetarian']"
041420048548,Gummy Clusters,Candy,3.48,9,"DEXTROSE, SUGAR, CORN SYRUP, GELATIN, MODIFIED CORN STARCH, MALIC ACID, CITRIC ACID, SODIUM CITRATE, APPLE JUICE CONCENTRATE, ACACIA (GUM ARABIC), NATURAL AND ARTIFICIAL FLAVORS, CARNAUBA WAX, COLOR ADDED, RED 40, YELLOW 5, RED 40 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE, YELLOW 6, CARMINE (COLOR), BLUE 1, BLUE 1 LAKE.",,"Snacks, Sweet snacks, Confectioneries, Candies",,e,4,"['en:palm-oil-free', 'en:non-vegan', 'en:non-vegetarian']"
044276044801,"Parfaits Strawberry, Lemon Lime, & Orange",Dairy & Eggs,3.22,10,"Water, gelatin, hydrogenated palm kernel oil, sorbitol, erythritol, citric acid, natural & artificial flavor, potassium sorbate (preservative), salt, modified cellulose, aspartame*, polysorbate 60, sodium citrate, polyglycerol esters of fatty acids, glycerol-lacto esters of fatty acids, acesulfame potassium, xanthan gum, sodium stearoyl lactylate, sodium alginate, sunflower lecithin, disodium phosphate. if strawberry: red 40; if orange: yellow 6, red 40; if lemon lime: yellow 5, blue 1.",,"Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts",en:no-gluten,b,4,"['en:palm-oil', 'en:non-vegan', 'en:non-vegetarian']"
628619880075,Watermelon Kiwi Burst! Superfood Smoothie,Snacks,4.68,8,"Organic apple, organic banana, water, whey protein isolate, organic kiwi, grape juice concentrate, beet juice concentrate, natural flavor, watermelon juice concentrate, strawberry juice concentrate, organic lemon juice concentrate, ascorbic acid (vitamin c).",,"Plant-based foods and beverages, Beverages, Plant-based beverages",,c,4,"['en:palm-oil-free', 'en:non-vegan', 'en:vegetarian-status-unknown']"
